model_name,price_per_token,provider,mmlu_score,model_size
gpt-4o,0.0000025000,OpenAI,88.7,Unknown
gpt-4o-mini,0.0000001500,OpenAI,79.0,Unknown
gpt-4-turbo,0.0000100000,OpenAI,86.4,Unknown
gpt-4,0.0000300000,OpenAI,86.4,Unknown
gpt-3.5-turbo,0.0000005000,OpenAI,70.0,175B
claude-3-5-sonnet-20241022,0.0000030000,Anthropic,88.7,Unknown
claude-3-opus-20240229,0.0000150000,Anthropic,86.8,Unknown
claude-3-sonnet-20240229,0.0000030000,Anthropic,84.9,Unknown
claude-3-haiku-20240307,0.0000002500,Anthropic,75.2,Unknown
claude-2.1,0.0000080000,Anthropic,78.5,Unknown
gemini-1.5-pro,0.0000012500,Google,83.7,Unknown
gemini-1.5-flash,0.0000000750,Google,78.5,Unknown
gemini-pro,0.0000005000,Google,72.6,Unknown
paLM-2,0.0000010000,Google,78.3,340B
anthropic.claude-3-5-sonnet-20241022-v2:0,0.0000030000,AWS,88.7,Unknown
anthropic.claude-3-opus-20240229-v1:0,0.0000150000,AWS,86.8,Unknown
anthropic.claude-3-sonnet-20240229-v1:0,0.0000030000,AWS,84.9,Unknown
amazon.titan-text-premier-v1:0,0.0000008000,AWS,75.0,Unknown
amazon.titan-text-lite-v1,0.0000002000,AWS,68.0,Unknown
ai21.j2-ultra-v1,0.0000180000,AWS,79.0,Unknown
ai21.j2-mid-v1,0.0000125000,AWS,72.0,Unknown
gpt-4o,0.0000025000,Azure,88.7,Unknown
gpt-4-turbo,0.0000100000,Azure,86.4,Unknown
gpt-4,0.0000300000,Azure,86.4,Unknown
gpt-35-turbo,0.0000005000,Azure,70.0,175B
llama-3-70b,0.0000005900,Meta,82.0,70B
llama-3-8b,0.0000000500,Meta,66.6,8B
llama-2-70b,0.0000006500,Meta,69.8,70B
llama-2-13b,0.0000001500,Meta,54.8,13B
llama-2-7b,0.0000001000,Meta,45.3,7B
mistral-large-2407,0.0000027000,Mistral,81.2,Unknown
mistral-medium-2312,0.0000027000,Mistral,75.3,Unknown
mistral-small-2409,0.0000002000,Mistral,72.2,Unknown
mistral-tiny,0.0000001400,Mistral,61.0,7B
